Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.9107E-05,4.9107E-05,0.074575,0,0,0,1307.2,63.83,0.006149,-0.014068,63.795,-0.014068,98.574,0,0,0,0,0,0,package://manipulator/meshes/base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://manipulator/meshes/base_link.STL,,base_link.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steering_link_1,0.042479,1.1102E-16,-0.062687,0,0,0,4.8522,0.013585,1.6486E-18,0.0021076,0.018007,-2.869E-18,0.0085973,0,0,0,0,0,0,package://manipulator/meshes/steering_link_1.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://manipulator/meshes/steering_link_1.STL,,steering_link^Assem-3,Origin_steering_joint_1,Axis_steering_joint_1,steering_joint_1,revolute,-0.275,0.105,0.3,1.5708,1.5708,0,base_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
wheel_1,-5.5511E-17,0.019674,-8.3267E-17,0,0,0,12.04,0.043182,8.5859E-18,-1.8246E-17,0.074681,1.1303E-17,0.043182,0,0,0,0,0,0,package://manipulator/meshes/wheel_1.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://manipulator/meshes/wheel_1.STL,,Wheel_1-6,Origin_wheel_joint_1,Axis_wheel_joint_1,wheel_joint_1,continuous,0,0,-0.14,0,0,1.5708,steering_link_1,0,1,0,0,100,,,,,,,,,,
steering_link_2,0.042479,5.5511E-17,-0.062687,0,0,0,4.8522,0.013585,7.2512E-19,0.0021076,0.018007,-1.1739E-18,0.0085973,0,0,0,0,0,0,package://manipulator/meshes/steering_link_2.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://manipulator/meshes/steering_link_2.STL,,steering_link^Assem-4,Origin_steering_joint_2,Axis_steering_joint_2,steering_joint_2,continuous,-0.275,0.105,-0.3,1.5708,-1.5708,0,base_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
wheel_2,5.5511E-17,0.019674,-5.5511E-17,0,0,0,12.04,0.043182,-2.9671E-18,1.0408E-17,0.074681,7.6252E-18,0.043182,0,0,0,0,0,0,package://manipulator/meshes/wheel_2.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://manipulator/meshes/wheel_2.STL,,Wheel_1-7,Origin_wheel_joint_2,Axis_wheel_joint_2,wheel_joint_2,continuous,0,0,-0.14,0,0.56883,1.5708,steering_link_2,0,1,0,0,100,,,,,,,,,,
steering_link_3,0.092479,0.0375,-0.027687,0,0,0,4.8522,0.013585,7.563E-19,0.0021076,0.018007,-2.9107E-18,0.0085973,0,0,0,0,0,0,package://manipulator/meshes/steering_link_3.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://manipulator/meshes/steering_link_3.STL,,steering_link^Assem-1,Origin_steering_joint_3,,steering_joint_3,fixed,0.3125,0.14,-0.35,1.5708,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
wheel_3,1.1102E-16,-0.030326,1.6653E-16,0,0,0,12.04,0.043182,-1.735E-18,-1.7347E-17,0.074681,-2.5561E-18,0.043182,0,0,0,0,0,0,package://manipulator/meshes/wheel_3.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://manipulator/meshes/wheel_3.STL,,Wheel_1-5,Origin_wheel_joint_3,Axis_wheel_joint_3,wheel_joint_3,continuous,0,0.0375,-0.105,0,0.58362,1.5708,steering_link_3,0,1,0,0,100,,,,,,,,,,
steering_link_4,0.092479,0.0375,-0.027687,0,0,0,4.8522,0.013585,1.0431E-18,0.0021076,0.018007,1.0299E-18,0.0085973,0,0,0,0,0,0,package://manipulator/meshes/steering_link_4.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://manipulator/meshes/steering_link_4.STL,,steering_link^Assem-2,Origin_steering_joint_4,,steering_joint_4,fixed,0.2375,0.14,0.35,1.5708,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
wheel_4,0,-0.030326,0,0,0,0,12.04,0.043182,1.2938E-17,-2.4229E-17,0.074681,-1.2277E-17,0.043182,0,0,0,0,0,0,package://manipulator/meshes/wheel_4.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://manipulator/meshes/wheel_4.STL,,Wheel_1-8,Origin_wheel_joint_,Axis_wheel_joint_,wheel_joint_,continuous,0,0.0375,-0.105,0,0,1.5708,steering_link_4,0,1,0,0,100,,,,,,,,,,
lidar,0,2.7756E-17,0.04975,0,0,0,15.601,0.037726,-4.7022E-35,-6.5636E-19,0.037726,-1.0109E-34,0.04969,0,0,0,0,0,0,package://manipulator/meshes/lidar.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://manipulator/meshes/lidar.STL,,lidar-1,Origin_lidar_joint,,lidar_joint,fixed,-0.19908,-0.25,0.20045,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
